,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250102093000,1735781400000,3347.939,3347.939,3347.939,3347.939,3670201,3575501259.0,0.0,0,3351.763,0
20250102093100,1735781460000,3349.9559999999997,3351.7219999999998,3346.341,3348.879,13626795,14474084328.0,0.0,0,3347.939,0
20250102093200,1735781520000,3348.628,3348.628,3344.436,3344.436,9609086,10374782942.0,0.0,0,3348.8790000000004,0
20250102093300,1735781580000,3344.498,3347.385,3344.498,3346.561,6649815,7309423314.000001,0.0,0,3344.436,0
20250102093400,1735781640000,3346.054,3346.054,3341.973,3342.19,7160046,7866873420.0,0.0,0,3346.562,0
20250102093500,1735781700000,3341.753,3343.858,3341.237,3341.273,6481541,6714220152.0,0.0,0,3342.1910000000003,0
20250102093600,1735781760000,3340.977,3340.977,3338.455,3340.361,6232918,6449496442.000001,0.0,0,3341.272,0
20250102093700,1735781820000,3339.7889999999998,3341.183,3339.004,3339.004,5373030,5684716131.999999,0.0,0,3340.361,0
20250102093800,1735781880000,3338.808,3340.6839999999997,3338.504,3338.842,4625412,5256519197.000001,0.0,0,3339.004,0
20250102093900,1735781940000,3338.612,3341.695,3337.9210000000003,3339.3630000000003,5536695,5747190637.999999,0.0,0,3338.842,0
20250102094000,1735782000000,3339.9739999999997,3340.573,3338.658,3338.98,4101562,4445800564.0,0.0,0,3339.363,0
20250102094100,1735782060000,3339.277,3339.4,3335.695,3336.579,4743186,4783017866.0,0.0,0,3338.98,0
20250102094200,1735782120000,3335.774,3336.186,3333.958,3335.7870000000003,4555931,4813328581.000001,0.0,0,3336.579,0
20250102094300,1735782180000,3335.6639999999998,3336.627,3334.033,3336.024,4401317,4674084497.0,0.0,0,3335.787,0
20250102094400,1735782240000,3336.469,3336.641,3334.81,3335.112,4035548,4480566678.0,0.0,0,3336.024,0
20250102094500,1735782300000,3335.053,3339.758,3334.069,3339.499,4376079,4700220235.999999,0.0,0,3335.113,0
20250102094600,1735782360000,3339.362,3339.362,3336.9990000000003,3338.0380000000005,4226885,4183741510.0000005,0.0,0,3339.4990000000003,0
20250102094700,1735782420000,3338.181,3338.181,3336.501,3336.5710000000004,4225201,4327816211.0,0.0,0,3338.038,0
20250102094800,1735782480000,3335.988,3336.496,3334.335,3336.496,3701978,3787566508.0,0.0,0,3336.571,0
20250102094900,1735782540000,3336.0620000000004,3336.51,3335.1800000000003,3335.7740000000003,3320022,3418380690.0,0.0,0,3336.496,0
20250102095000,1735782600000,3336.344,3336.344,3332.4500000000003,3332.4500000000003,3513829,3637747903.0000005,0.0,0,3335.7740000000003,0
20250102095100,1735782660000,3332.0110000000004,3332.6810000000005,3331.3250000000003,3331.3250000000003,4205967,4376102247.0,0.0,0,3332.449,0
20250102095200,1735782720000,3331.3320000000003,3333.358,3330.271,3332.885,3738146,4072901994.0,0.0,0,3331.326,0
20250102095300,1735782780000,3333.31,3335.73,3333.31,3335.582,3163916,3166787824.0,0.0,0,3332.884,0
20250102095400,1735782840000,3335.817,3335.965,3334.25,3334.981,3096511,3093557213.0,0.0,0,3335.582,0
20250102095500,1735782900000,3335.074,3336.887,3335.074,3336.797,3221662,3384503862.0,0.0,0,3334.981,0
20250102095600,1735782960000,3336.5220000000004,3336.5220000000004,3335.251,3335.251,2413366,2617631727.0,0.0,0,3336.797,0
20250102095700,1735783020000,3335.3280000000004,3336.454,3334.8920000000003,3336.2400000000002,2424803,2818762301.0,0.0,0,3335.2500000000005,0
20250102095800,1735783080000,3336.0620000000004,3337.376,3335.5860000000002,3336.701,2293400,2520896236.0,0.0,0,3336.2400000000002,0
20250102095900,1735783140000,3336.64,3336.6440000000002,3333.217,3333.361,3795680,3695185411.0,0.0,0,3336.701,0
20250102100000,1735783200000,3333.5950000000003,3333.5950000000003,3331.545,3331.705,2851908,3121189966.0,0.0,0,3333.361,0
20250102100100,1735783260000,3331.177,3332.563,3330.589,3330.826,3410375,3650173236.0,0.0,0,3331.706,0
20250102100200,1735783320000,3330.582,3331.107,3329.747,3330.446,2669806,3287942559.0,0.0,0,3330.8269999999998,0
20250102100300,1735783380000,3330.3,3330.3,3327.257,3327.257,2739590,3241950003.0000005,0.0,0,3330.445,0
20250102100400,1735783440000,3327.0,3327.0280000000002,3323.041,3323.6130000000003,3645728,4029658617.0000005,0.0,0,3327.257,0
20250102100500,1735783500000,3323.589,3324.547,3322.725,3324.547,3136525,3249600305.0,0.0,0,3323.614,0
20250102100600,1735783560000,3324.444,3324.7340000000004,3323.108,3323.978,2504237,2675558363.0,0.0,0,3324.547,0
20250102100700,1735783620000,3323.816,3324.662,3323.274,3323.8889999999997,2152637,2442677537.0000005,0.0,0,3323.978,0
20250102100800,1735783680000,3324.0570000000002,3324.074,3323.1150000000002,3323.414,2103638,2316580163.9999995,0.0,0,3323.8880000000004,0
20250102100900,1735783740000,3323.468,3327.685,3323.468,3326.312,2809603,2998972511.0,0.0,0,3323.4139999999998,0
20250102101000,1735783800000,3326.245,3327.1440000000002,3324.13,3325.117,3572679,3921806067.0,0.0,0,3326.313,0
20250102101100,1735783860000,3325.44,3325.44,3323.14,3323.238,2989592,3278310209.0,0.0,0,3325.118,0
20250102101200,1735783920000,3323.048,3323.048,3318.189,3318.189,3763201,3667778437.0,0.0,0,3323.238,0
20250102101300,1735783980000,3318.104,3319.9089999999997,3317.718,3318.229,3809768,3759436685.0,0.0,0,3318.189,0
20250102101400,1735784040000,3317.797,3318.709,3317.167,3317.46,2513414,2789693527.0,0.0,0,3318.229,0
20250102101500,1735784100000,3317.2960000000003,3317.2960000000003,3315.686,3316.034,2955274,2938727581.0,0.0,0,3317.46,0
