,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250102093000,1735781400000,266.25,266.25,266.25,266.25,733,19523846.0,0.0,14,266.0,0
20250102093100,1735781460000,266.25,266.3,263.7,264.33,6285,166536587.00000003,0.0,13,266.25,0
20250102093200,1735781520000,264.33,264.33,263.89,264.02,2787,73614076.0,0.0,13,264.33,0
20250102093300,1735781580000,264.04,264.04,263.34000000000003,263.50000000000006,2717,71641334.00000001,0.0,13,264.02000000000004,0
20250102093400,1735781640000,263.5,263.75,263.08,263.13,2561,67448536.0,0.0,13,263.5,0
20250102093500,1735781700000,263.13,263.2,262.21,262.37,3269,85949170.0,0.0,13,263.13,0
20250102093600,1735781760000,262.21,262.21,260.9,261.01,4101,107249149.99999999,0.0,13,262.37,0
20250102093700,1735781820000,260.91,260.91,259.66,259.66,5519,143655487.0,0.0,13,261.01000000000005,0
20250102093800,1735781880000,259.92,260.04,259.05,259.35,3892,101081438.0,0.0,13,259.66,0
20250102093900,1735781940000,259.36,260.18,259.36,259.73,3214,83472829.00000001,0.0,13,259.35,0
20250102094000,1735782000000,259.75,260.15,259.57,259.92,2713,70477873.0,0.0,13,259.73,0
20250102094100,1735782060000,259.88,260.05,259.33,259.34999999999997,3186,82696025.0,0.0,13,259.91999999999996,0
20250102094200,1735782120000,259.32000000000005,259.32000000000005,258.34000000000003,258.78000000000003,4588,118767383.0,0.0,13,259.35,0
20250102094300,1735782180000,258.69,258.78000000000003,258.04,258.78000000000003,3875,100110670.0,0.0,13,258.78000000000003,0
20250102094400,1735782240000,258.83000000000004,258.90000000000003,258.41,258.56,2545,65839242.0,0.0,13,258.78000000000003,0
20250102094500,1735782300000,258.51,258.71999999999997,258.39,258.56,3065,79208181.0,0.0,13,258.56,0
20250102094600,1735782360000,258.51,258.75,258.13,258.62,2925,75581999.0,0.0,13,258.56,0
20250102094700,1735782420000,258.63,258.81,258.31,258.75,2092,54077480.00000001,0.0,13,258.62,0
20250102094800,1735782480000,258.7,259.16,258.67,259.16,1702,44054544.0,0.0,13,258.75,0
20250102094900,1735782540000,259.39,259.73,259.32,259.73,1625,42184514.0,0.0,13,259.15999999999997,0
20250102095000,1735782600000,259.95,259.96,259.44,259.88,1907,49511828.0,0.0,13,259.73,0
20250102095100,1735782660000,259.87,260.14,259.68,259.68,1299,33777375.0,0.0,13,259.88,0
20250102095200,1735782720000,259.6,260.20000000000005,259.6,260.20000000000005,1566,40706653.0,0.0,13,259.68,0
20250102095300,1735782780000,260.23,260.76,260.23,260.76,1529,39834410.0,0.0,13,260.20000000000005,0
20250102095400,1735782840000,260.58,261.03999999999996,260.4,261.03999999999996,1398,36440312.0,0.0,13,260.76,0
20250102095500,1735782900000,261.05,261.05,260.5,260.51,1536,40038667.0,0.0,13,261.04,0
20250102095600,1735782960000,260.5,260.5,260.31,260.5,922,24013403.000000004,0.0,13,260.51,0
20250102095700,1735783020000,260.44,261.38,260.4,261.37,876,22852003.999999996,0.0,13,260.5,0
20250102095800,1735783080000,261.14,261.24,260.87,261.0,985,25717235.0,0.0,13,261.37,0
20250102095900,1735783140000,260.96000000000004,260.96000000000004,260.48,260.49,876,22839584.0,0.0,13,261.0,0
20250102100000,1735783200000,260.49,261.05,260.49,260.97,693,18076356.999999996,0.0,13,260.49,0
20250102100100,1735783260000,260.93,260.96999999999997,260.44,260.51,823,21447446.0,0.0,13,260.96999999999997,0
20250102100200,1735783320000,260.52,261.08,260.52,261.0,792,20658735.999999996,0.0,13,260.51,0
20250102100300,1735783380000,261.0,261.08,260.62,261.08,694,18101939.000000004,0.0,13,261.0,0
20250102100400,1735783440000,261.06,261.21000000000004,260.8,261.12,922,24066826.000000004,0.0,13,261.08,0
20250102100500,1735783500000,261.1,261.42,260.92,261.29,1116,29151430.0,0.0,13,261.12,0
20250102100600,1735783560000,261.29,262.23,261.11,262.16,1125,29453774.0,0.0,13,261.29,0
20250102100700,1735783620000,262.0,262.0,261.48,261.56,1210,31669014.0,0.0,13,262.16,0
20250102100800,1735783680000,261.69,262.23,261.66,262.23,772,20228868.0,0.0,13,261.56,0
20250102100900,1735783740000,262.25,262.94,262.2,262.76,1543,40514190.0,0.0,13,262.22999999999996,0
20250102101000,1735783800000,262.77,262.77,261.19,261.6,1453,38056759.00000001,0.0,13,262.76,0
20250102101100,1735783860000,261.59,261.59,261.15,261.25,848,22167639.0,0.0,13,261.59999999999997,0
20250102101200,1735783920000,261.13,261.16999999999996,261.02,261.06,697,18199232.0,0.0,13,261.25,0
20250102101300,1735783980000,261.06,261.71,261.06,261.39,1186,31002543.999999996,0.0,13,261.06,0
20250102101400,1735784040000,261.21,261.97999999999996,261.21,261.57,879,22998174.000000004,0.0,13,261.39,0
20250102101500,1735784100000,261.57,261.91,261.43,261.85,675,17676785.0,0.0,13,261.57,0
20250102101600,1735784160000,261.82,262.25,261.79,262.04,1051,27536657.999999996,0.0,13,261.85,0
20250102101700,1735784220000,262.04,262.05,261.98,262.02000000000004,804,21066910.000000004,0.0,13,262.04,0
20250102101800,1735784280000,262.01,262.25,261.7,261.87,1074,28133853.0,0.0,13,262.02,0
20250102101900,1735784340000,261.93,262.43,261.87,262.43,869,22789553.0,0.0,13,261.87,0
20250102102000,1735784400000,262.43,262.90000000000003,262.1,262.90000000000003,795,20860033.0,0.0,13,262.43,0
20250102102100,1735784460000,262.89,262.89,262.68,262.72,861,22604698.0,0.0,13,262.90000000000003,0
20250102102200,1735784520000,262.75,262.99,262.6,262.6,988,25975283.0,0.0,13,262.72,0
20250102102300,1735784580000,262.73,262.88,262.73,262.76,718,18867982.0,0.0,13,262.6,0
20250102102400,1735784640000,262.74,262.74,262.44,262.7,522,13708652.999999998,0.0,13,262.76,0
20250102102500,1735784700000,262.71,263.19,262.71,262.76,905,23807947.0,0.0,13,262.7,0
20250102102600,1735784760000,262.81,263.2,262.81,263.16,553,14545972.0,0.0,13,262.76,0
20250102102700,1735784820000,263.08,263.08,262.68,262.92,577,15168721.0,0.0,13,263.16,0
20250102102800,1735784880000,262.86,262.89000000000004,262.54,262.56,836,21964049.999999996,0.0,13,262.92,0
20250102102900,1735784940000,262.56,262.56,262.04,262.07,490,12850039.0,0.0,13,262.56,0
20250102103000,1735785000000,262.09000000000003,262.69000000000005,262.09000000000003,262.62,469,12295754.0,0.0,13,262.07000000000005,0
20250102103100,1735785060000,262.68,262.69,262.2,262.2,590,15489457.0,0.0,13,262.62,0
20250102103200,1735785120000,262.46999999999997,262.51,262.21,262.51,246,6453027.0,0.0,13,262.2,0
20250102103300,1735785180000,262.52000000000004,262.55,262.3,262.34000000000003,499,13092644.0,0.0,13,262.51,0
20250102103400,1735785240000,262.37,262.68,262.32,262.46,318,8346712.0,0.0,13,262.34,0
20250102103500,1735785300000,262.44,262.44,262.07,262.29,557,14627264.000000002,0.0,13,262.46,0
20250102103600,1735785360000,262.45,262.57,262.3,262.38,297,7795305.000000001,0.0,13,262.29,0
20250102103700,1735785420000,262.39,262.48,262.3,262.37,361,9451027.0,0.0,13,262.38,0
20250102103800,1735785480000,262.41,262.43,261.92,261.95,620,16258047.000000002,0.0,13,262.37,0
20250102103900,1735785540000,261.88,262.28,261.88,262.28,397,10402176.0,0.0,13,261.95,0
20250102104000,1735785600000,262.23,262.40000000000003,262.09000000000003,262.40000000000003,609,15967560.0,0.0,13,262.28000000000003,0
20250102104100,1735785660000,262.39,262.69,262.31,262.64,331,8688807.0,0.0,13,262.4,0
20250102104200,1735785720000,262.6,262.66,262.34000000000003,262.66,407,10682087.000000002,0.0,13,262.64000000000004,0
20250102104300,1735785780000,262.57,262.94,262.57,262.87,293,7698633.000000001,0.0,13,262.65999999999997,0
20250102104400,1735785840000,262.89,263.0,262.74,262.77,339,8910872.0,0.0,13,262.87,0
20250102104500,1735785900000,262.77000000000004,262.87,262.73,262.75,497,13060458.999999998,0.0,13,262.77000000000004,0
20250102104600,1735785960000,262.75,262.96000000000004,262.74,262.87,283,7437986.0,0.0,13,262.75,0
20250102104700,1735786020000,262.9,262.91,262.5,262.5,500,13138052.0,0.0,13,262.87,0
20250102104800,1735786080000,262.49,263.0,262.49,262.89,629,16547637.0,0.0,13,262.5,0
20250102104900,1735786140000,262.84,263.09,262.81,263.09,434,11412302.0,0.0,13,262.89,0
20250102105000,1735786200000,263.14,263.17,262.93,263.17,441,11601498.0,0.0,13,263.09000000000003,0
20250102105100,1735786260000,263.14000000000004,263.48,263.1,263.21000000000004,698,18375179.000000004,0.0,13,263.17,0
20250102105200,1735786320000,263.21,263.22,263.06,263.1,565,14862474.0,0.0,13,263.21,0
20250102105300,1735786380000,263.23,263.38,263.12,263.38,591,15559903.0,0.0,13,263.1,0
20250102105400,1735786440000,263.33,263.34,263.0,263.03,925,24340188.0,0.0,13,263.38,0
20250102105500,1735786500000,262.94,262.96,262.51,262.51,415,10904060.000000002,0.0,13,263.03,0
20250102105600,1735786560000,262.67,263.1,262.67,263.06,359,9437653.0,0.0,13,262.51,0
20250102105700,1735786620000,263.03000000000003,263.22,262.97,263.12,251,6603459.000000001,0.0,13,263.06,0
20250102105800,1735786680000,263.20000000000005,263.24,263.09000000000003,263.12,220,5789140.0,0.0,13,263.12,0
20250102105900,1735786740000,263.07,263.14,263.0,263.0,258,6786691.0,0.0,13,263.12,0
20250102110000,1735786800000,262.99,263.23,262.97,263.08000000000004,394,10366352.0,0.0,13,263.0,0
20250102110100,1735786860000,263.00000000000006,263.00000000000006,262.78000000000003,262.78000000000003,495,13012691.000000002,0.0,13,263.08000000000004,0
20250102110200,1735786920000,262.79,263.22,262.68,262.94,352,9252047.0,0.0,13,262.78000000000003,0
20250102110300,1735786980000,262.94,262.95,262.64,262.8,347,9117373.000000002,0.0,13,262.94,0
20250102110400,1735787040000,262.78,263.04999999999995,262.77,262.91999999999996,165,4337788.000000001,0.0,13,262.79999999999995,0
20250102110500,1735787100000,262.84,263.09,262.83,263.09,253,6651928.000000001,0.0,13,262.91999999999996,0
20250102110600,1735787160000,263.09000000000003,263.09000000000003,262.79,262.79,296,7781132.0,0.0,13,263.09000000000003,0
20250102110700,1735787220000,262.76,263.0,262.7,262.94,281,7384541.000000001,0.0,13,262.78999999999996,0
20250102110800,1735787280000,263.0,263.25,262.92,263.17,333,8763442.000000002,0.0,13,262.94,0
20250102110900,1735787340000,263.13,263.49,262.95,263.33,386,10159892.0,0.0,13,263.17,0
20250102111000,1735787400000,263.45,263.46999999999997,263.21,263.41999999999996,298,7847935.0,0.0,13,263.33,0
20250102111100,1735787460000,263.44,263.44,263.32,263.33,270,7111710.0,0.0,13,263.42,0
20250102111200,1735787520000,263.36,263.36,263.07,263.07,335,8816966.0,0.0,13,263.33,0
20250102111300,1735787580000,263.00000000000006,263.12,262.78000000000003,263.12,385,10111625.0,0.0,13,263.07000000000005,0
20250102111400,1735787640000,263.18,263.28000000000003,263.12,263.24,221,5832869.0,0.0,13,263.12,0
20250102111500,1735787700000,263.23,263.25,263.16,263.16,335,8818214.0,0.0,13,263.24,0
20250102111600,1735787760000,263.16,263.48,263.16,263.47,357,9401343.000000002,0.0,13,263.16,0
20250102111700,1735787820000,263.5,263.5,263.21,263.21,500,13169630.0,0.0,13,263.46999999999997,0
20250102111800,1735787880000,263.21,263.21,262.94,263.02,329,8653739.0,0.0,13,263.21,0
20250102111900,1735787940000,263.12,263.22999999999996,263.08,263.12,252,6630904.0,0.0,13,263.02,0
20250102112000,1735788000000,263.12,263.32000000000005,263.1,263.32000000000005,261,6868300.0,0.0,13,263.12,0
20250102112100,1735788060000,263.3,263.45,263.26,263.38,251,6610457.0,0.0,13,263.32,0
20250102112200,1735788120000,263.32,263.5,263.32,263.46999999999997,180,4741559.0,0.0,13,263.38,0
20250102112300,1735788180000,263.5,263.53000000000003,263.42,263.42,332,8747191.0,0.0,13,263.47,0
20250102112400,1735788240000,263.46000000000004,263.46000000000004,263.41,263.44,158,4162188.0,0.0,13,263.42,0
20250102112500,1735788300000,263.45000000000005,263.56,263.41,263.43,308,8114090.000000001,0.0,13,263.44,0
20250102112600,1735788360000,263.39,263.39,263.06,263.14,327,8607163.0,0.0,13,263.43,0
20250102112700,1735788420000,263.15,263.32,263.01,263.01,378,9948904.0,0.0,13,263.14,0
20250102112800,1735788480000,263.0,263.13,263.0,263.1,358,9416903.0,0.0,13,263.01,0
20250102112900,1735788540000,263.1,263.21000000000004,263.04,263.15000000000003,210,5525685.0,0.0,13,263.1,0
20250102113000,1735788600000,263.17,263.38,263.17,263.38,197,5186210.0,0.0,14,263.15000000000003,0
20250102130100,1735794060000,263.15000000000003,263.15000000000003,262.42,262.42,1064,27964414.0,0.0,13,263.38,0
20250102130200,1735794120000,262.43,262.43,262.1,262.28000000000003,1310,34355721.0,0.0,13,262.42,0
20250102130300,1735794180000,262.34000000000003,262.34000000000003,262.12,262.28000000000003,450,11800989.0,0.0,13,262.28000000000003,0
20250102130400,1735794240000,262.53000000000003,263.0,262.31,262.4,690,18110611.000000004,0.0,13,262.28000000000003,0
20250102130500,1735794300000,262.39,262.39,261.96,261.96,508,13315808.0,0.0,13,262.4,0
20250102130600,1735794360000,262.0,262.12,261.85,261.85,737,19309184.0,0.0,13,261.96000000000004,0
20250102130700,1735794420000,261.8,261.94,261.68,261.88,488,12776523.0,0.0,13,261.85,0
20250102130800,1735794480000,261.89,262.2,261.86,261.88,832,21793774.000000004,0.0,13,261.88,0
20250102130900,1735794540000,261.9,262.32,261.81,262.32,457,11968766.000000002,0.0,13,261.88,0
20250102131000,1735794600000,262.32,262.32,261.9,262.17999999999995,1066,27945381.0,0.0,13,262.32,0
20250102131100,1735794660000,262.15,262.37,261.95,262.01,606,15882001.000000002,0.0,13,262.18,0
20250102131200,1735794720000,262.13,262.36,261.88,261.88,544,14256584.0,0.0,13,262.01,0
20250102131300,1735794780000,261.8,262.07,261.69,261.87,707,18511238.0,0.0,13,261.88,0
20250102131400,1735794840000,261.85999999999996,261.85999999999996,261.65,261.7,404,10574168.0,0.0,13,261.87,0
20250102131500,1735794900000,261.69,261.87,261.61,261.82,488,12755191.999999998,0.0,13,261.7,0
20250102131600,1735794960000,261.8,262.28000000000003,261.8,262.07,442,11584427.0,0.0,13,261.82,0
20250102131700,1735795020000,262.07,262.7,262.07,262.42,346,9077236.0,0.0,13,262.07,0
20250102131800,1735795080000,262.43,262.82,262.38,262.74,446,11713586.0,0.0,13,262.42,0
20250102131900,1735795140000,262.67,263.0,262.67,262.75,650,17087779.0,0.0,13,262.74,0
20250102132000,1735795200000,262.96000000000004,263.1,262.74,263.1,358,9412335.0,0.0,13,262.75,0
20250102132100,1735795260000,263.09000000000003,263.27000000000004,262.98,263.0,591,15547243.0,0.0,13,263.1,0
20250102132200,1735795320000,262.91,262.99,262.66,262.66,673,17690127.000000004,0.0,13,263.0,0
20250102132300,1735795380000,262.68,262.92,262.38,262.81,690,18121676.0,0.0,13,262.65999999999997,0
20250102132400,1735795440000,262.85,262.96999999999997,262.63,262.63,624,16397824.000000002,0.0,13,262.81,0
20250102132500,1735795500000,262.64,262.82,262.52,262.82,608,15968592.000000002,0.0,13,262.63,0
20250102132600,1735795560000,262.73,262.95,262.42,262.42,429,11269169.0,0.0,13,262.82,0
20250102132700,1735795620000,262.5,262.9,262.46,262.65999999999997,564,14834559.999999998,0.0,13,262.41999999999996,0
20250102132800,1735795680000,262.64,262.79999999999995,262.4,262.53,916,24036487.0,0.0,13,262.65999999999997,0
20250102132900,1735795740000,262.72,262.8,262.47,262.79,569,14941347.0,0.0,13,262.53000000000003,0
20250102133000,1735795800000,262.8,262.98,262.68,262.68,779,20472041.0,0.0,13,262.79,0
20250102133100,1735795860000,262.63,262.63,262.2,262.62,683,17931664.0,0.0,13,262.68,0
20250102133200,1735795920000,262.63,262.92,262.51,262.61,427,11217422.000000002,0.0,13,262.62,0
20250102133300,1735795980000,262.44,262.92,262.44,262.86,476,12500576.999999998,0.0,13,262.61,0
20250102133400,1735796040000,262.66999999999996,262.81,262.46,262.65,431,11337078.000000002,0.0,13,262.85999999999996,0
20250102133500,1735796100000,262.68,262.8,262.6,262.6,349,9169148.000000002,0.0,13,262.65000000000003,0
20250102133600,1735796160000,262.6,262.6,262.35,262.35,226,5931618.000000001,0.0,13,262.6,0
20250102133700,1735796220000,262.39000000000004,262.43,262.35,262.43,542,14206489.0,0.0,13,262.35,0
20250102133800,1735796280000,262.43,262.66,262.24,262.24,425,11156598.0,0.0,13,262.43,0
20250102133900,1735796340000,262.3,262.8,262.3,262.42,608,15960039.0,0.0,13,262.24,0
20250102134000,1735796400000,262.44,262.44,262.24,262.29,621,16292150.0,0.0,13,262.42,0
20250102134100,1735796460000,262.41999999999996,262.65,262.27,262.27,297,7794643.0,0.0,13,262.28999999999996,0
20250102134200,1735796520000,262.21999999999997,262.21999999999997,261.89,261.89,843,22089517.999999996,0.0,13,262.27,0
20250102134300,1735796580000,261.9,262.0,261.81,261.82,438,11471019.0,0.0,13,261.89,0
20250102134400,1735796640000,261.8,261.98,261.8,261.82,564,14769357.0,0.0,13,261.82,0
20250102134500,1735796700000,261.81,261.81,261.58,261.7,692,18107385.0,0.0,13,261.82,0
20250102134600,1735796760000,261.75,262.0,261.61,261.72,636,16648111.0,0.0,13,261.7,0
20250102134700,1735796820000,261.72,261.72,261.3,261.37,762,19925186.0,0.0,13,261.72,0
20250102134800,1735796880000,261.46,261.46,260.68,260.79,1665,43465063.99999999,0.0,13,261.37,0
20250102134900,1735796940000,260.71999999999997,260.71999999999997,260.45,260.59999999999997,1312,34187152.0,0.0,13,260.78999999999996,0
20250102135000,1735797000000,260.6,261.01000000000005,260.6,261.01000000000005,1187,30947054.0,0.0,13,260.6,0
20250102135100,1735797060000,260.69,261.11,260.66,260.66,567,14784943.0,0.0,13,261.01000000000005,0
